Word,Parts
aeroneurosis,aero-neurosis
aeropause,aero-pause
aerophobia,aero-phobia
aerophobic,aero-phobic
aerophone,aero-phone
aeroplankton,aero-plankton
aeroscope,aero-scope
aerosols,aerosol=s
aerospace,aero-space
aerosphere,aero-sphere
aerostat,aero-stat
aerostatic,aerostat=ic
aerostatics,aerostatic=s
aerostation,aero-station
aerostats,aerostat=s
aerotherapeutics,aero-therapeutics
aerothermodynamics,aero-thermodynamics
aerotrain,aero-train
aerotropic,aero-tropic
aerotropism,aero=tropism
aesopic,aesop=ic
aesthetes,aesthete=s
aesthetics,aesthetic=s
affairs,affair=s
affectation,affect=ation
affected,affect=ed
affectedly,affected=ly
affectedness,affected=ness
affecting,affect=ing
affectingly,affecting=ly
affectional,affection=al
affectionate,affection=ate
affectionately,affectionate=ly
affections,affection=s
affective,affect=ive
affectively,affective=ly
affectivity,affective=ity
affects,affect=s
affianced,affiance=ed
affiches,affiche=s
affidavits,affidavit=s
affiliated,affiliate=ed
affiliates,affiliate=s
affiliating,affiliate=ing
affiliations,affiliation=s
affinal,affine=al
affined,affine=ed
affinely,affine=ly
affines,affine=s
affinities,affinity=es
affirmance,affirm=ance
affirmant,affirm=ant
affirmations,affirmation=s
affirmative,affirm=ative
affirmatively,affirmative=ly
affirmatory,affirm=atory
affirmed,affirm=ed
affirming,affirm=ing
affirms,affirm=s
affixation,affix=ation
affixed,affix=ed
affixes,affix=es
affixial,affix=ial
affixing,affix=ing
afflicted,afflict=ed
afflicting,afflict=ing
afflictions,affliction=s
afflictive,afflict=ive
afflicts,afflict=s
affluently,affluent=ly
affordability,afford=ability
affordable,afford=able
afforded,afford=ed
affording,afford=ing
affords,afford=s
affrayer,affray=er
affricates,affricate=s
affricative,affricate=ive
affronted,affront=ed
affronting,affront=ing
affrontive,affront=ive
affronts,affront=s
afghanis,afghani=s
afghans,afghan=s
aficionados,aficionado=s
aforementioned,afore-mentioned
aforesaid,afore-said
aforethought,afore-thought
aforetime,afore-time
african,africa=n
africanist,african=ist
africanize,african=ize
africanized,africanize=ed
africans,african=s
afrikanerdom,afrikaner=dom
afrikaners,afrikaner=s
afroasiatic,afro-asiatic
afrocentric,afro-centric
afterbirth,after-birth
afterbody,after-body
afterbrain,after-brain
afterburner,after-burner
afterburners,afterburner=s
afterburning,after-burning
aftercare,after-care
afterclap,after-clap
afterdamp,after-damp
afterdeck,after-deck
aftereffect,after-effect
aftereffects,aftereffect=s
afterglow,after-glow
afterglows,afterglow=s
aftergrowth,after-growth
afterguard,after-guard
afterheat,after-heat
afterhours,after-hours
afterimage,after-image
afterimages,afterimage=s
afterlife,after-life
afterlives,after-lives
aftermarket,after-market
aftermarkets,aftermarket=s
aftermath,after-math
aftermaths,aftermath=s
aftermost,after-most
afternoon,after-noon
afternoons,afternoon=s
afterpains,after-pains
afterpiece,after-piece
afters,after=s
aftersensation,after-sensation
aftershaft,after-shaft
aftershave,after-shave
aftershaves,aftershave=s
aftershock,after-shock
aftershocks,aftershock=s
aftersurge,after-surge
aftersurges,aftersurge=s
aftertaste,after-taste
aftertastes,aftertaste=s
aftertax,after-tax
afterthought,after-thought
afterthoughts,afterthought=s
aftertime,after-time
afterward,after=ward
afterwards,afterward=s
afterword,after-word
afterwords,afterword=s
afterworld,after-world
afteryears,after-years
aftmost,aft-most
agate,ag=ate
agates,agate=s
agateware,agate-ware
agatize,agate=ize
aged,age=ed
agedly,aged=ly
agedness,aged=ness
ageism,age=ism
ageless,age=less
agelessness,ageless=ness
agelong,age-long
agencies,agency=es
agendas,agenda=s
agent,age=ent
agentive,agent=ive
agents,agent=s
ager,age=er
agers,ager=s
ages,age=s
agger,ag=er
aggies,aggie=s
agglomerative,agglomerate=ive
agglutinating,agglutinate=ing
agglutinative,agglutinate=ive
agglutinogenic,agglutinogen=ic
aggrandizement,aggrandize=ment
aggrandizing,aggrandize=ing
aggravated,aggravate=ed
aggravates,aggravate=s
aggravating,aggravate=ing
aggravation,aggravate=ion
aggregated,aggregate=ed
aggregates,aggregate=s
aggregating,aggregate=ing
aggressions,aggression=s
aggressive,aggress=ive
aggressively,aggressive=ly
aggressiveness,aggressive=ness
aggressivity,aggressive=ity
aggressor,aggress=or
aggressors,aggressor=s
aggrieved,aggrieve=ed
aggrievedness,aggrieved=ness
agilely,agile=ly
agileness,agile=ness
agility,agile=ity
aging,age=ing
agist,age=ist
agister,agist=er
agistment,agist=ment
agitated,agitate=ed
agitating,agitate=ing
agitations,agitation=s
agitator,agitate=or
agitators,agitator=s
aglet,ag=let
agly,ag=ly
agnostics,agnostic=s
agones,agone=s
agonies,agony=es
agonistic,agonist=ic
agonists,agonist=s
agonized,agonize=ed
agonizes,agonize=s
agonizing,agonize=ing
agonizingly,agonizing=ly
agrarianism,agrarian=ism
agreeable,agree=able
agreeing,agree=ing
agreement,agree=ment
agreements,agreement=s
agrees,agree=s
agricultural,agriculture=al
agriculturalist,agricultural=ist
agriculturalists,agriculturalist=s
agriculturally,agricultural=ly
agriculturist,agriculture=ist
agrochemicals,agrochemical=s
agronomical,agronomic=al
agronomically,agronomical=ly
agronomics,agronomic=s
agronomists,agronomist=s
agueweed,ague-weed
aguishly,aguish=ly
aholds,ahold=s
aided,aid=ed
aides,aide=s
aiding,aid=ing
aids,aid=s
ailerons,aileron=s
ailing,ail=ing
ailments,ailment=s
ails,ail=s
aimed,aim=ed
aimee,aim=ee
aiming,aim=ing
aimless,aim=less
aimlessly,aimless=ly
aimlessness,aimless=ness
aims,aim=s
airbag,air-bag
airbags,airbag=s
airbase,air-base
airbases,airbase=s
airboat,air-boat
airboats,airboat=s
airborne,air-borne
airbrush,air-brush
airburst,air-burst
airbus,air-bus
aircondition,air-condition
airconditioned,aircondition=ed
airconditioning,aircondition=ing
airconditions,aircondition=s
aircraft,air-craft
aircraftman,aircraft-man
aircraftsman,air-craftsman
aircraftwoman,aircraft-woman
aircrew,air-crew
aircrewman,aircrew-man
airdrome,air-drome
airdrop,air-drop
airdrops,airdrop=s
aired,air=ed
airedale,aired-ale
airedales,airedale=s
airer,air=er
airfare,air-fare
airfares,airfare=s
airfield,air-field
airfields,airfield=s
airflow,air-flow
airflows,airflow=s
airfoil,air-foil
airfoils,airfoil=s
airforce,air-force
airframe,air-frame
airframes,airframe=s
airfreight,air-freight
airglow,air-glow
airgraph,air-graph
airhead,air-head
airing,air=ing
airless,air=less
airlift,air-lift
airlifted,airlift=ed
airlifting,airlift=ing
airlifts,airlift=s
airlike,air-like
airline,air-line
airliner,airline=er
airliners,airliner=s
airlines,airline=s
airlock,air-lock
airlocks,airlock=s
airmail,air-mail
airman,air-man
airmen,air-men
airmobile,air-mobile
airplane,air-plane
airplanes,airplane=s
airplay,air-play
airport,air-port
airports,airport=s
airpost,air-post
airpower,air-power
airproof,air-proof
airs,air=s
airscrew,air-screw
airship,air-ship
airships,airship=s
airsick,air-sick
airsickness,airsick=ness
airspace,air-space
airspaces,airspace=s
airspeed,air-speed
airstrike,air-strike
airstrikes,airstrike=s
airstrip,air-strip
airstrips,airstrip=s
airtight,air-tight
airtightness,airtight=ness
airtime,air-time
airwave,air-wave
airwaves,airwave=s
airway,air-way
airways,airway=s
airwoman,air-woman
airworthiness,airworthy=ness
airworthy,air-worthy
airy,air=y
aisles,aisle=s
aitchbone,aitch-bone
alabaman,alabama=n
alabamans,alabaman=s
alamos,alamo=s
alarmed,alarm=ed
alarming,alarm=ing
alarmingly,alarming=ly
alarmist,alarm=ist
alarmists,alarmist=s
alarms,alarm=s
alary,alar=y
alaskan,alaska=n
alaskans,alaskan=s
albanian,albania=n
albanians,albanian=s
albatrosses,albatross=es
alberts,albert=s
albumenise,albumen=ise
albumenize,albumen=ize
albuminate,albumin=ate
albuminoid,albumin=oid
albuminous,albumin=ous
albums,album=s
alchemical,alchemic=al
alchemically,alchemical=ly
alchemistic,alchemist=ic
alcidine,alcid=ine
alcids,alcid=s
alcoholic,alcohol=ic
alcoholics,alcoholic=s
alcoholism,alcohol=ism
alcoholize,alcohol=ize
alcoholometer,alcohol=ometer
alcoves,alcove=s
alderfly,alder-fly
alderman,alder-man
aldermanic,alderman=ic
aldermanry,alderman=ry
aldermen,alder-men
aldershot,alder-shot
alecost,ale-cost
alee,al=ee
alehouse,ale-house
alerted,alert=ed
alerting,alert=ing
alertly,alert=ly
alertness,alert=ness
alerts,alert=s
ales,ale=s
aleutians,aleutian=s
alewife,ale-wife
alewives,ale-wives
alexanders,alexander=s
alexandrian,alexandria=n
alexandrines,alexandrine=s
alexine,alex=ine
algebraical,algebraic=al
algebraically,algebraical=ly
algerian,algeria=n
algerians,algerian=s
algerine,alger=ine
alginate,algin=ate
algorithms,algorithm=s
aliases,alias=es
alibis,alibi=s
alienable,alien=able
alienage,alien=age
alienate,alien=ate
alienated,alienate=ed
alienates,alienate=s
alienating,alienate=ing
alienation,alien=ation
alienee,alien=ee
aliener,alien=er
alienism,alien=ism
alienist,alien=ist
alienness,alien=ness
alienor,alien=or
aliens,alien=s
aligned,align=ed
aligning,align=ing
alignment,align=ment
alignments,alignment=s
aligns,align=s
alikeness,alike=ness
alimentation,aliment=ation
alimentative,aliment=ative
alkalies,alkali=es
alkalinity,alkaline=ity
alkaloidal,alkaloid=al
alkaloids,alkaloid=s
alkanes,alkane=s
alkenes,alkene=s
alkylate,alkyl=ate
alkylation,alkyl=ation
alkylic,alkyl=ic
allantoidal,allantoid=al
allative,al=ative
allayed,allay=ed
allaying,allay=ing
allays,allay=s
allee,al=ee
allegations,allegation=s
alleged,allege=ed
alleges,allege=s
alleghenies,allegheny=es
allegiances,allegiance=s
alleging,allege=ing
allegorically,allegorical=ly
allegoricalness,allegorical=ness
allegories,allegory=es
alleles,allele=s
allelic,allel=ic
allen,al=en
allentown,allen-town
allergenic,allergen=ic
allergens,allergen=s
allergies,allergy=es
allergists,allergist=s
alleviated,alleviate=ed
alleviates,alleviate=s
alleviating,alleviate=ing
alleviative,alleviate=ive
alleviator,alleviate=or
alleys,alley=s
alleyway,alley-way
alleyways,alleyway=s
allgood,all-good
allheal,all-heal
alliances,alliance=s
allied,ally=ed
allies,ally=es
alligator,alligate=or
alligators,alligator=s
alliterating,alliterate=ing
alliterative,alliterate=ive
alliteratively,alliterative=ly
alliterativeness,alliterative=ness
allness,all=ness
allocated,allocate=ed
allocates,allocate=s
allocating,allocate=ing
allocations,allocation=s
allocator,allocate=or
allocators,allocator=s
allogenic,allo-genic
allographs,allograph=s
allomorphic,allomorph=ic
allomorphs,allomorph=s
allonges,allonge=s
allonymous,allonym=ous
allopathic,allopath=ic
allophones,allophone=s
allopolyploidy,allopolyploid=y
allotment,allot=ment
allotments,allotment=s
allotropes,allotrope=s
allotropical,allotropic=al
allots,allot=s
allotted,allot=ed
allottee,allot=ee
allotting,allot=ing
allotypic,allotype=ic
allover,all-over
allowable,allow=able
allowableness,allowable=ness
allowance,allow=ance
allowances,allowance=s
allowed,allow=ed
allowedly,allowed=ly
allowing,allow=ing
allows,allow=s
alloys,alloy=s
alls,all=s
allseed,all-seed
allspice,all-spice
allstate,all-state
alluded,allude=ed
alludes,allude=s
alluding,allude=ing
allured,allure=ed
allurement,allure=ment
alluring,allure=ing
alluringly,alluring=ly
allusions,allusion=s
allusively,allusive=ly
allusiveness,allusive=ness
allying,ally=ing
allylic,allyl=ic
almas,alma=s
almonds,almond=s
almsgiver,alms-giver
almshouse,alms-house
almsman,alms-man
almswoman,alms-woman
aloneness,alone=ness
alongshore,along-shore
alongside,along-side
